time	V(n001)
4.960779884202844e-01	2.232147e+01
4.960779941675564e-01	2.232147e+01
4.960780002987381e-01	2.232147e+01
4.960780073121684e-01	2.232147e+01
4.960780127557060e-01	2.232147e+01
4.960780183388813e-01	2.232147e+01
4.960780249266879e-01	2.232147e+01
4.960780306448059e-01	2.232147e+01
4.960780367858074e-01	2.232147e+01
4.960780438117853e-01	2.232147e+01
4.960780492339817e-01	2.232147e+01
4.960780548344945e-01	2.232147e+01
4.960780614358943e-01	2.232147e+01
4.960780671247154e-01	2.232147e+01
4.960780732757631e-01	2.232147e+01
4.960780803143230e-01	2.232147e+01
4.960780857227710e-01	2.232147e+01
4.960780913444841e-01	2.232147e+01
4.960780979601913e-01	2.232147e+01
4.960781036346526e-01	2.232147e+01
4.960781098073789e-01	2.232147e+01
4.960781168600080e-01	2.232147e+01
4.960781222743388e-01	2.232147e+01
4.960781279368858e-01	2.232147e+01
4.960781345664514e-01	2.232147e+01
4.960781402398600e-01	2.232147e+01
4.960781464636819e-01	2.232147e+01
4.960781589330799e-01	2.232147e+01
4.960781646608857e-01	2.232147e+01
4.960781769551686e-01	2.232147e+01
4.960781832588521e-01	2.232147e+01
4.960781957138963e-01	2.232147e+01
4.960782015395316e-01	2.232147e+01
4.960782138118887e-01	2.232147e+01
4.960782202368144e-01	2.232147e+01
4.960782326722163e-01	2.232147e+01
4.960782386739045e-01	2.232147e+01
4.960782509197861e-01	2.232147e+01
4.960782575729278e-01	2.232147e+01
4.960782700065388e-01	2.232147e+01
4.960782763552393e-01	2.232147e+01
4.960782886445990e-01	2.232147e+01
4.960782958452994e-01	2.232147e+01
4.960783032506149e-01	2.232147e+01
4.960783086712307e-01	2.232147e+01
4.960783165372315e-01	2.232147e+01
4.960783240899432e-01	2.232147e+01
4.960783306972618e-01	2.232147e+01
4.960783439606145e-01	2.232147e+01
4.960783501146639e-01	2.232147e+01
4.960783625044706e-01	2.232147e+01
4.960783694296413e-01	2.232147e+01
4.960783820190475e-01	2.232147e+01
4.960783889000829e-01	2.232147e+01
4.960783959532626e-01	2.232147e+01
4.960784018414129e-01	2.232147e+01
4.960784098112497e-01	2.232147e+01
4.960784184618275e-01	2.232147e+01
4.960784252599123e-01	2.232147e+01
4.960784382353751e-01	2.232147e+01
4.960784455979906e-01	2.232147e+01
4.960784531742637e-01	2.232147e+01
4.960784588651752e-01	2.232147e+01
4.960784665909976e-01	2.232147e+01
4.960784750207795e-01	2.232147e+01
4.960784824508780e-01	2.232147e+01
4.960784955811521e-01	2.232147e+01
4.960785028368517e-01	2.232147e+01
4.960785101863702e-01	2.232147e+01
4.960785165224491e-01	2.232147e+01
4.960785243184385e-01	2.232147e+01
4.960785310959292e-01	2.232147e+01
4.960785374732058e-01	2.232147e+01
4.960785502301651e-01	2.232147e+01
4.960785573671507e-01	2.232147e+01
4.960785648174481e-01	2.232147e+01
4.960785702323913e-01	2.232147e+01
4.960785784040407e-01	2.232147e+01
4.960785858869846e-01	2.232147e+01
4.960785924875060e-01	2.232147e+01
4.960786061005267e-01	2.232147e+01
4.960786124777634e-01	2.232147e+01
4.960786251415709e-01	2.232147e+01
4.960786325042750e-01	2.232147e+01
4.960786400866835e-01	2.232147e+01
4.960786457252282e-01	2.232147e+01
4.960786537043794e-01	2.232147e+01
4.960786619080371e-01	2.232147e+01
4.960786691778534e-01	2.232147e+01
4.960786824875668e-01	2.232147e+01
4.960786896485125e-01	2.232147e+01
4.960786969658301e-01	2.232147e+01
4.960787032043818e-01	2.232147e+01
4.960787111920196e-01	2.232147e+01
4.960787185326183e-01	2.232147e+01
4.960787251604759e-01	2.232147e+01
4.960787381956185e-01	2.232147e+01
4.960787457297902e-01	2.232147e+01
4.960787534613413e-01	2.232147e+01
4.960787593383258e-01	2.232147e+01
4.960787671984558e-01	2.232147e+01
4.960787751903987e-01	2.232147e+01
4.960787826623803e-01	2.232147e+01
4.960787904818245e-01	2.232147e+01
4.960787960503284e-01	2.232147e+01
4.960788044648635e-01	2.232147e+01
4.960788122504592e-01	2.232147e+01
4.960788192092297e-01	2.232147e+01
4.960788327041265e-01	2.232147e+01
4.960788395853433e-01	2.232147e+01
4.960788467748238e-01	2.232147e+01
4.960788526631542e-01	2.232147e+01
4.960788610375275e-01	2.232147e+01
4.960788697157399e-01	2.232147e+01
4.960788767347528e-01	2.232147e+01
4.960788901976159e-01	2.232147e+01
